name,node_id_cooc,node_id_core,node_id_chem
coriander,412,412,412
coriander_root,413,413,413
corn,414,414,414
corn_flakes,415,415,415
corn_husk,416,416,416
corn_oil,417,417,417
corn_relish,418,418,418
corn_silk,419,419,419
corn_syrup,420,420,420
corn_tortilla,421,421,421
cornbread,422,422,422
corned_beef,423,423,423
cornelian_cherry,424,424,424
cornmeal,425,425,425
cornstarch,426,426,426
corvina,427,427,427
cotija_cheese,428,428,428
cottage_cheese,429,429,429
cotton_candy,430,430,430
couscous,431,431,431
crab,432,432,432
crab_apple,433,433,433
crab_boil_seasoning,434,434,434
crab_claw_fish,435,435,435
crab_mushroom,436,436,436
crab_roe,437,437,437
crab_stick,438,438,438
cracker,439,439,439
cranberry,440,440,440
cranberry_liqueur,441,441,441
cranberry_sauce,442,442,442
crappie,443,443,443
crayfish,444,444,444
cream,445,445,445
cream_cheese,446,446,446
cream_liqueur,447,447,447
cream_of_celery_soup,448,448,448
cream_of_chicken_soup,449,449,449
cream_of_mushroom_soup,450,450,450
cream_of_rice,451,451,451
cream_of_tartar,452,452,452
cream_of_wheat,453,453,453
cream_soda,454,454,454
creme_anglaise,455,455,455
creme_de_cacao,456,456,456
creme_de_cassis,457,457,457
creme_de_menthe,458,458,458
creme_de_violette,459,459,459
creme_fraiche,460,460,460
creole_sauce,461,461,461
creole_seasoning,462,462,462
crepe,463,463,463
crescent_roll,464,464,464
crispbread,465,465,465
croissant,466,466,466
crosnes,467,467,467
crouton,468,468,468
crumb_crust,469,469,469
crumpet,470,470,470
cubanelle_pepper,471,471,471
cucumber,472,472,472
cudweed,473,473,473
culantro,474,474,474
cumin,475,475,475
curd,476,476,476
cured_chicken,477,477,477
cured_duck,478,478,478
cured_fish,479,479,479
curing_salt,480,480,480
curry,481,481,481
curry_leaf,482,482,482
curry_paste,483,483,483
curry_powder,484,484,484
custard,485,485,485
custard_powder,486,486,486
cynar,487,487,487
dace,488,488,488
daikon,489,489,489
damson,490,490,490
dandelion,491,491,491
dango,492,492,492
dark_soy_sauce,493,493,493
dashi,494,494,494
date,495,495,495
daylily_flower,496,496,496
deer_mushroom,497,497,497
demi_glace,498,498,498
denbu,499,499,499
dextrose,500,500,500
digestive_biscuit,501,501,501
dijonnaise,502,502,502
dill,503,503,503
doenjang,504,504,504
donburi_sauce,505,505,505
dong_leaf,506,506,506
donkey_meat,507,507,507
dory,508,508,508
doubanjiang,509,509,509
dough,510,510,510
dough_improver,511,511,511
doughnut,512,512,512
dragon_fruit,513,513,513
dragon_whisker_vegetable,514,514,514
drambuie,515,515,515
dried_ganba_mushroom,516,516,516
dried_lily_bud,517,517,517
dried_orchid_flower,518,518,518
dried_oyster,519,519,519
dried_scallop,520,520,520
dried_shrimp,521,521,521
dried_tangerine_peel,522,522,522
